id,rouge1,rouge2,rougel,bertscore_precision,bertscore_recall,bertscore_f1,method
38,0.3596004439511654,0.08453837597330366,0.1709211986681465,0.5399937629699707,0.6066470146179199,0.5713831186294556,BERTScore-deberta-xlarge-mnli
39,0.3277591973244147,0.07718120805369127,0.16387959866220736,0.5880066752433777,0.6394394636154175,0.6126455664634705,BERTScore-deberta-xlarge-mnli
40,0.4341736694677871,0.10674157303370788,0.1680672268907563,0.5869985222816467,0.6103522777557373,0.5984476804733276,BERTScore-deberta-xlarge-mnli
41,0.34870641169853767,0.10146561443066518,0.15748031496062995,0.5256514549255371,0.5887682437896729,0.5554225444793701,BERTScore-deberta-xlarge-mnli
42,0.3832528180354267,0.09046849757673667,0.14170692431561996,0.5905563831329346,0.6210345029830933,0.6054121255874634,BERTScore-deberta-xlarge-mnli
43,0.43359818388195226,0.11831626848691698,0.18615209988649262,0.5531204342842102,0.5964001417160034,0.5739455223083496,BERTScore-deberta-xlarge-mnli
44,0.4358523725834798,0.09523809523809523,0.19332161687170474,0.6275663375854492,0.6305595636367798,0.629059374332428,BERTScore-deberta-xlarge-mnli
45,0.3753581661891118,0.14367816091954025,0.1518624641833811,0.5851290822029114,0.7026205658912659,0.6385149955749512,BERTScore-deberta-xlarge-mnli
46,0.4202626641651031,0.09792843691148775,0.1726078799249531,0.5887845158576965,0.6267040967941284,0.6071528196334839,BERTScore-deberta-xlarge-mnli
48,0.4035398230088496,0.10657193605683837,0.19469026548672566,0.6273455023765564,0.6385588049888611,0.6329025030136108,BERTScore-deberta-xlarge-mnli
49,0.3934426229508196,0.10603290676416818,0.1967213114754098,0.6061802506446838,0.6726324558258057,0.6376798152923584,BERTScore-deberta-xlarge-mnli
50,0.3210332103321033,0.1037037037037037,0.14760147601476015,0.5850896835327148,0.6567862033843994,0.618868350982666,BERTScore-deberta-xlarge-mnli
51,0.42500000000000004,0.08786610878661087,0.18333333333333332,0.6241512298583984,0.6792479157447815,0.6505351066589355,BERTScore-deberta-xlarge-mnli
52,0.3928571428571428,0.12121212121212123,0.19230769230769232,0.6060954928398132,0.6610218286514282,0.632368266582489,BERTScore-deberta-xlarge-mnli
53,0.31071428571428567,0.10394265232974909,0.16071428571428567,0.5674952268600464,0.6588811874389648,0.6097832918167114,BERTScore-deberta-xlarge-mnli
54,0.4123957091775924,0.15053763440860216,0.17401668653158525,0.6105889081954956,0.6429798603057861,0.6263659000396729,BERTScore-deberta-xlarge-mnli
55,0.3834355828220859,0.10153846153846154,0.15950920245398773,0.5752587914466858,0.652590811252594,0.6114895343780518,BERTScore-deberta-xlarge-mnli
