id,bartscore_sum2doc,bartscore_doc2sum
481,-6.870635986328125,-3.564173936843872
482,-6.1923909187316895,-3.5447304248809814
483,-6.178856372833252,-3.7418601512908936
484,-6.832615852355957,-3.497786283493042
485,-6.16916036605835,-3.337986707687378
486,-6.349393367767334,-3.5398900508880615
487,-6.5974016189575195,-3.9303786754608154
488,-6.713733673095703,-3.445469617843628
489,-7.142760276794434,-3.529820203781128
490,-6.8948283195495605,-3.4467833042144775
491,-6.548045635223389,-3.849079132080078
492,-6.383232116699219,-3.5538902282714844
493,-7.004940986633301,-3.8341786861419678
494,-6.979354381561279,-3.759603261947632
495,-6.544134616851807,-3.706925868988037
496,-6.289487838745117,-3.5103728771209717
497,-6.1709394454956055,-3.6145637035369873
498,-7.396788597106934,-3.683382272720337
499,-6.311186790466309,-3.5314958095550537
